date,open,high,low,close,adj_close,volume,range,Year,return
12/20/2023,140.3300018,143.0780029,139.4100037,139.6600037,138.8347626,33507300,3.667999268,2023,0.011296144
12/21/2023,140.7700043,142.0299988,140.4730072,141.8000031,140.9620972,18101500,1.556991577,2023,0.015322922
12/22/2023,142.1300049,143.25,142.0549927,142.7200012,141.8766632,18513500,1.195007324,2023,0.006487998
12/26/2023,142.9799957,143.9450073,142.5,142.8200073,141.9760895,11170100,1.445007324,2023,0.000700715
12/27/2023,142.8300018,143.3200073,141.0509949,141.4400024,140.6042328,17288400,2.269012451,2023,-0.009662546
12/28/2023,141.8500061,142.2700043,140.8280029,141.2799988,140.4451599,12192500,1.442001343,2023,-0.001131248
12/29/2023,140.6799927,141.4349976,139.8999939,140.9299927,140.0972443,14881000,1.535003662,2023,-0.002477393
1/2/2024,139.6000061,140.6150055,137.7400055,139.5599976,138.735321,20071900,2.875,2024,-0.009721104
1/3/2024,138.6000061,141.0899963,138.4299927,140.3600006,139.5306244,18974300,2.660003662,2024,0.005732323
1/4/2024,139.8500061,140.6349945,138.0099945,138.0399933,137.2243042,18253300,2.625,2024,-0.016528978
1/5/2024,138.352005,138.8099976,136.8500061,137.3899994,136.5781403,15439500,1.959991455,2024,-0.004708736
1/8/2024,138,140.6399994,137.8800049,140.5299988,139.6996002,17645300,2.759994507,2024,0.022854643
1/9/2024,140.0599976,142.8000031,139.7899933,142.5599976,141.7175903,19579700,3.010009766,2024,0.014445306
1/10/2024,142.5200043,144.5249939,142.4600067,143.8000031,142.9503021,16641900,2.064987183,2024,0.008698131
1/11/2024,144.8950043,146.6600037,142.2149963,143.6699982,142.8210449,17471100,4.445007324,2024,-0.000904067
1/12/2024,144.3399963,144.7400055,143.3600006,144.2400055,143.3876801,13998700,1.380004883,2024,0.003967476
1/16/2024,143.4299927,145.8399963,143.0559998,144.0800018,143.2286377,19198900,2.783996582,2024,-0.001109288
1/17/2024,142.9100037,143.4100037,140.5099945,142.8899994,142.0456543,17884500,2.900009155,2024,-0.008259317
1/18/2024,143.4400024,145.5850067,143.3500061,144.9900055,144.133255,18876800,2.23500061,2024,0.014696663
1/19/2024,146.3049927,148.0399933,145.8000031,147.9700012,147.0956421,27181000,2.239990234,2024,0.020553111
1/22/2024,148.7100067,150.0149994,147.5800018,147.7100067,146.8371735,21829200,2.434997559,2024,-0.001757076
1/23/2024,147.7200012,148.8600006,147.1900024,148.6799927,147.8014374,14113600,1.669998169,2024,0.006566826
1/24/2024,150.2899933,151.5700073,149.8399963,150.3500061,149.4615936,19245000,1.730010986,2024,0.011232267
1/25/2024,151.7400055,154.7599945,151.2200012,153.6399994,152.7321472,21495100,3.539993286,2024,0.021882229
1/26/2024,152.8699951,154.1100006,152.8000031,153.7899933,152.8812408,19494500,1.309997559,2024,0.000976269
1/29/2024,153.6399994,155.1999969,152.9199982,154.8399963,153.9250488,20909300,2.279998779,2024,0.006827512
1/30/2024,154.0099945,155.0399933,152.7749939,153.0500031,152.1456299,26578900,2.26499939,2024,-0.011560277
1/31/2024,145.3899994,145.5899963,141.5500031,141.8000031,140.9620972,43908600,4.039993286,2024,-0.073505389
2/1/2024,143.6900024,144.6199951,142.2599945,142.7100067,141.8667297,25526900,2.36000061,2024,0.006417515
2/2/2024,140.8899994,143.8800049,138.1699982,143.5399933,142.691803,42136100,5.710006714,2024,0.005815896
2/5/2024,144.0399933,146.6699982,143.9100037,144.9299927,144.0735931,29254400,2.759994507,2024,0.009683708
2/6/2024,145.9600067,146.7400055,144.5200043,145.4100037,144.550766,21517700,2.220001221,2024,0.00331202
2/7/2024,146.1199951,147,145.2100067,146.6799927,145.8132629,21436100,1.789993286,2024,0.008733849
2/8/2024,146.9700012,147.6100006,146.4199982,147.2200012,146.3500824,18241300,1.190002441,2024,0.003681542
2/9/2024,147.9499969,150.6950073,147.4299927,150.2200012,149.3323517,21877700,3.265014648,2024,0.020377666
2/12/2024,149.5399933,150.5899963,148.5599976,148.7299957,147.8511353,17236100,2.029998779,2024,-0.009918822
2/13/2024,146.0700073,148.0399933,145.1100006,146.3699951,145.5050964,18138500,2.929992676,2024,-0.015867684
2/14/2024,147.3699951,147.8300018,145.5549927,147.1399994,146.2705536,16651800,2.275009155,2024,0.00526067
2/15/2024,144.4600067,144.7599945,141.8800049,143.9400024,143.0894623,26724300,2.879989624,2024,-0.021747974
2/16/2024,144.2100067,144.4799957,141.5200043,141.7599945,140.9223175,21865100,2.959991455,2024,-0.015145254
2/20/2024,140.9400024,143.3289948,140.8000031,142.1999969,141.3597412,18625600,2.528991699,2024,0.003103855
2/21/2024,142.6399994,143.9799957,141.9100037,143.8399963,142.9900513,16440800,2.069992065,2024,0.011533048
2/22/2024,146.1199951,146.1999969,144.0099945,145.3200073,144.4613037,23024700,2.190002441,2024,0.010289287
2/23/2024,144.9700012,145.9550018,144.7899933,145.2899933,144.4314728,14519400,1.165008545,2024,-0.000206538
2/26/2024,143.4499969,143.8399963,138.7400055,138.75,137.9301147,33513000,5.099990845,2024,-0.045013377
2/27/2024,139.4100037,140.4900055,138.5,140.1000061,139.2721558,22364000,1.990005493,2024,0.009729774
2/28/2024,139.1000061,139.2799988,136.6399994,137.4299927,136.6179047,30628700,2.63999939,2024,-0.019057911
2/29/2024,138.3500061,139.9499969,137.5700073,139.7799988,138.9540405,35485000,2.379989624,2024,0.01709966
3/1/2024,139.6100006,140,137.9750061,138.0800018,137.2640839,28551500,2.024993896,2024,-0.012161947
3/4/2024,136.5399933,136.6300049,132.8600006,134.1999969,133.4069977,43571500,3.770004272,2024,-0.028099687
3/5/2024,132.7400055,134.0200043,131.5500031,133.7799988,132.9894714,28447600,2.470001221,2024,-0.003129644
3/6/2024,134.2400055,134.7400055,131.9499969,132.5599976,131.7766876,23175200,2.790008545,2024,-0.009119459
3/7/2024,133.8899994,135.8200073,132.6600037,135.2400055,134.4408569,24107300,3.160003662,2024,0.02021732
3/8/2024,135.0350037,138.9850006,134.8000031,136.2899933,135.4846649,26495200,4.184997559,2024,0.007763885
3/11/2024,137.0700073,139.9799957,137.0700073,138.9400024,138.1190033,22536400,2.909988403,2024,0.019443901
3/12/2024,138.25,140.2799988,138.2100067,139.6199951,138.7949829,19019700,2.069992065,2024,0.004894146
3/13/2024,140.0599976,142.1900024,140.0099945,140.7700043,139.9381866,19637000,2.180007935,2024,0.008236708
3/14/2024,142.3000031,144.7299957,141.4850006,144.3399963,143.4870911,36117900,3.244995117,2024,0.02536046
3/15/2024,143.4100037,144.3399963,141.1300049,142.1699982,141.3299103,41039500,3.209991455,2024,-0.015033935
3/18/2024,149.3699951,152.9299927,148.1399994,148.4799957,147.6026306,47676700,4.789993286,2024,0.044383468
3/19/2024,148.9799957,149.6199951,147.0099945,147.9199982,147.0459442,17748400,2.61000061,2024,-0.003771535
3/20/2024,148.7899933,149.7599945,147.6649933,149.6799927,148.7955322,17730000,2.095001221,2024,0.011898286
3/21/2024,150.3200073,151.3049927,148.0099945,148.7400055,147.8611145,19843900,3.294998169,2024,-0.006279979
3/22/2024,150.2400055,152.5599976,150.0899963,151.7700043,150.8732147,19252900,2.470001221,2024,0.020371108
3/25/2024,150.9499969,151.4559937,148.8000031,151.1499939,150.2568512,15114700,2.655990601,2024,-0.004085197
3/26/2024,151.2400055,153.1999969,151.0299988,151.6999969,150.8036041,19312700,2.169998169,2024,0.00363879
3/27/2024,152.1450043,152.6900024,150.1300049,151.9400024,151.0421753,16622000,2.559997559,2024,0.001582106
3/28/2024,152,152.6699982,151.3300018,152.2599945,151.3602753,21105600,1.339996338,2024,0.002106042
4/1/2024,151.8300018,157,151.6499939,156.5,155.5752411,24469800,5.350006104,2024,0.027847141
4/2/2024,154.75,155.9900055,153.4600067,155.8699951,154.9489594,17598100,2.529998779,2024,-0.00402559
4/3/2024,154.9199982,156.5500031,154.1320038,156.3699951,155.4460144,17266200,2.417999268,2024,0.003207801
4/4/2024,155.0800018,156.1799927,151.8800049,151.9400024,151.0421753,24184800,4.299987793,2024,-0.028330196
4/5/2024,151.6799927,154.8399963,151.0809937,153.9400024,153.0303497,16297300,3.759002686,2024,0.01316309
4/8/2024,154.0149994,156.6549988,153.9900055,156.1399994,155.2173767,16641500,2.664993286,2024,0.014291262
4/9/2024,157.3500061,159.8899994,156.6399994,158.1399994,157.2055511,21521500,3.25,2024,0.012809018
4/10/2024,157.8800049,158.1600037,156.1999969,157.6600037,156.7283783,16339200,1.960006714,2024,-0.003035258
4/11/2024,158.3399963,161.1199951,157.9299927,160.7899933,159.8398895,17841700,3.190002441,2024,0.019852782
4/12/2024,159.4049988,161.6999969,158.6000061,159.1900024,158.2493286,16989800,3.099990845,2024,-0.009950811
4/15/2024,160.2799988,160.8300018,156.1499939,156.3300018,155.40625,21140900,4.680007935,2024,-0.017965956
4/16/2024,155.6399994,157.2299957,155.0500031,156,155.078186,15413200,2.179992676,2024,-0.002110931
4/17/2024,157.1900024,158.6809998,156.1349945,156.8800049,155.9530029,16237800,2.546005249,2024,0.005641057
4/18/2024,156.9250031,158.4850006,156.2100067,157.4600067,156.5295715,14016100,2.274993896,2024,0.003697105
4/19/2024,157.75,157.9900055,153.9100037,155.7200012,154.7998505,21479900,4.080001831,2024,-0.01105046
4/22/2024,156.0099945,159.1849976,155.6600037,157.9499969,157.0166779,17243900,3.524993896,2024,0.014320548
4/23/2024,158.5899963,160.4799957,157.9649963,159.9199982,158.9750214,16115400,2.51499939,2024,0.012472309
4/24/2024,159.0899963,161.3899994,158.8200073,161.1000061,160.148056,19485700,2.569992065,2024,0.007378739
4/25/2024,153.3600006,158.2799988,152.7680054,157.9499969,157.0166779,36197800,5.511993408,2024,-0.019553129
4/26/2024,175.9900055,176.4199982,171.3999939,173.6900024,172.6636505,56500800,5.020004272,2024,0.099651825
4/29/2024,170.7700043,171.3800049,167.0599976,167.8999939,166.9078674,35914600,4.320007324,2024,-0.033335301
4/30/2024,167.3800049,169.8699951,164.5,164.6399994,163.6671143,29420800,5.369995117,2024,-0.019416287
5/1/2024,166.1799927,168.8099976,164.8999939,165.5700073,164.5916443,25223200,3.910003662,2024,0.005648736
5/2/2024,166.6699982,168.5299988,165.6900024,168.4600067,167.4645844,17041100,2.839996338,2024,0.017454848
5/3/2024,169.5399933,169.8500061,164.9799957,168.9900055,167.9914398,22767100,4.870010376,2024,0.00314614
5/6/2024,169.2200012,169.8999939,167.8899994,169.8300018,168.8264923,15147900,2.009994507,2024,0.004970686
5/7/2024,170.1199951,173.4700012,170,172.9799957,171.9578705,21102400,3.470001221,2024,0.018547924
5/8/2024,170.75,171.9089966,170.5220032,171.1600037,170.1486053,14569900,1.386993408,2024,-0.010521402
5/9/2024,171.1499939,172.4400024,169.9299927,171.5800018,170.5661316,11937700,2.510009766,2024,0.002453834
